ExternalReference,firstgen,mc.reside,mc.housing,mc.housingCountry,mc.QN28,mx.QN100_1,mx.QN100_2,mx.QN100_3,mx.QN104_2,mx.QN104_3,mx.QN104_4,mx.QN104_1,mx.QN104_5,mx.QN104_7,mx.QN104_8,mx.QN105_2,mx.QN105_3,mx.QN105_4,mx.QN105_5,mx.QN105_6,mx.QN105_7,mx.QN105_8,mx.QN105_9,mx.QN105_10,mx.mindset_1,mx.mindset_2,mx.mindset_3,mx.interSupport_1,mx.interSupport_2,mx.interSupport_3,mx.interSupport_4,mx.commSatisfy_1,mx.commSatisfy_3,mx.commSatisfy_4,mx.commSatisfy_6,mx.commSatisfy_7,mx.commFreq_1,mx.commFreq_2,mx.commFreq_3,mx.commFreq_4,mx.commFreq_5,mx.commFreq_6,mx.commAgree_1,mx.commAgree_2,mx.commAgree_3,mx.commAgree_4,mx.commAgree_5,mx.commAgree_6,mc.QN30,mc.QN94,mc.acdEssential,ms.acdEssentialcrs_1,ms.acdEssentialcrs_2,ms.acdEssentialcrs_3,mx.QN980_1,mx.QN980_2,mx.QN980_3,rk.QN98_1,rk.QN98_2,rk.QN98_3,rk.QN98_4,rk.QN98_5,rk.QN98_6,rk.QN98_7,mc.intMajor,mc.intmajorSauder,mx.QN111_2,mx.QN111_4,mx.QN111_7,mc.commuteFreq,mc.QN44,mc.QN45,mc.commuteerrand,mc.wbFamdoc,mc.wbMntsprt,mc.wbNavigate,ms.healthResource_1,ms.healthResource_2,ms.healthResource_3,ms.healthResource_4,ms.healthResource_5,ms.healthResource_6,cs.QN34_1,cs.QN34_2,cs.QN34_3,cs.QN34_4,cs.QN34_5,cs.QN34_6,cs.QN34_7,mc.QN37,mc.QN40,mc.QN41,mc.QN35,mc.QN36,ms.covidFinance_1,ms.covidFinance_2,ms.covidFinance_3,ms.covidFinance_4,ms.covidFinance_5,mc.covidTuition,mc.spApply,ms.spRestriction_1,ms.spRestriction_2,ms.spRestriction_3,ms.spRestriction_4,ms.spRestriction_7,ms.spRestriction_8,ms.QN48_1,ms.QN48_17,ms.QN48_18,ms.QN48_2,ms.QN48_3,ms.QN48_4,ms.QN48_5,ms.QN48_6,ms.QN48_7,ms.QN48_8,ms.QN48_9,ms.QN48_10,ms.QN48_11,ms.QN48_13,ms.QN48_14,ms.QN48_15,ms.QN48_16,mc.QN50,mc.QN52,ms.QN53_1,ms.QN53_2,ms.QN53_3,ms.QN53_4,ms.QN54_1,ms.QN54_2,ms.QN54_3,ms.QN54_4,ms.QN54_5,ms.QN54_6,ms.QN54_7,ms.QN54_8,ms.QN54_9,ms.QN54_10,ms.QN54_11,ms.QN54_12,ms.QN54_13,ms.QN54_14,ms.QN54_15,ms.QN54_16,ms.QN54_19,ms.QN54_20,ms.QN54_21,ms.QN54_22,ms.QN54_17,ms.QN54_18,ms.QN55_1,ms.QN55_2,ms.QN55_3,ms.QN55_4,ms.QN55_5,ms.QN55_6,ms.QN55_7,ms.QN55_8,ms.QN55_9,ms.QN55_10,ms.QN55_11,ms.QN55_12,ms.QN55_13,ms.QN55_14,ms.QN55_15,ms.QN55_16,ms.QN55_19,ms.QN55_20,ms.QN55_21,ms.QN55_22,ms.QN55_17,ms.QN55_18,mc.QN66,mc.QN67,mc.QN56,mc.QN57,mc.QN58,ms.QN59_1,ms.QN59_2,ms.QN59_3,ms.QN59_4,ms.QN59_5,ms.QN59_6,ms.QN59_7,ms.QN59_8,ms.QN59_9,mc.Q97,mc.daRsrc,campusName,final_faculty,year,rk.QN98complete,intmajorNew,ms.acdessentialcrsSum,ms.healthResourcesum,cs.QN34Sum,ms.covidFinanceSum,ms.spRestrictionSum,ms.QN53Sum,ms.healthResource_9,mx.QN65_1,mx.QN65_2,mx.QN65_3,mx.QN65_7,mx.QN65_4,mx.QN65_5,mx.QN65_6,directtransfer,ISI_STATUS
NUBC2021_ 15046,1 Parent,4,999,,4,4,5,5,3,2,3,999,3,1,,1,2,2,1,2,1,1,2,,6,6,6,999,6,6,6,5,4,5,5,4,2,2,1,2,2,2,4,5,4,4,5,4,1,1,1,0,0,0,4,4,4,5,1,6,4,2,7,3,14,,6,6,6,,,,,1,0,2,0,1,0,1,1,0,0,0,0,100,0,0,0,0,,,4,4,1,1,1,1,0,4,0,0,0,0,0,0,1,,,,,,,1,,,,,,,,,,,1,1,0,1,0,0,1,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,1,5,2,1,1,,0,0,,,0,0,1,,,3,Okanagan,APSO,2021,Y,14,0,3,100,4,1,1,0,5,5,5,5,2,4,6,DIRECT-ENTRY,Domestic
NUBC2021_ 17969,Non-First Gen,6,1,,5,6,6,5,5,5,4,2,1,4,1,4,1,4,1,2,5,3,5,,6,6,6,5,6,6,6,5,6,5,6,5,1,1,1,1,1,1,5,5,5,6,6,4,1,,0,0,0,0,3,3,3,1,3,5,2,4,6,7,51,,4,6,4,,,,999,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,9,,,5,2,1,0,1,1,0,4,0,1,0,0,1,0,0,,,,,,1,,,,,,,,,,,,0,1,1,0,0,1,1,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,5,5,2,1,1,,0,0,1,1,0,0,,,1,,Vancouver,APSC,2021,Y,51,0,1,100,3,2,2,1,3,4,4,4,5,3,4,DIRECT-ENTRY,ISI
NUBC2021_ 30610,Non-First Gen,6,4,,6,6,6,6,5,5,4,5,4,2,5,3,3,4,4,5,4,4,4,,5,5,6,6,5,6,6,6,6,6,6,6,1,1,1,1,1,1,6,6,6,6,6,6,1,,1,0,0,0,6,6,6,4,1,7,5,3,6,2,67,,6,6,6,3,5,999,,1,0,1,1,0,1,0,0,0,85,5,5,0,0,5,0,0,,,4,3,0,0,0,1,0,2,2,1,0,0,0,0,0,,,,,,,1,,,,,,,,,,,0,1,1,0,0,0,1,,1,0,0,,1,0,0,0,0,0,0,0,,,,0,0,,1,,1,,1,0,,,,,0,0,0,,0,0,,,,,0,,1,,5,5,1,999,1,,0,0,,,0,0,1,,3,,Vancouver,ARTS,2021,Y,67,0,2,100,1,1,1,0,6,5,5,5,5,5,5,TRANSFER,ISI
NUBC2021_ 2828,Non-First Gen,1,1,,6,6,6,6,5,5,5,5,5,1,,4,5,5,5,5,5,5,5,,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,4,4,6,6,6,6,1,,1,0,0,0,4,4,6,7,6,5,4,3,2,1,54,,6,6,6,,,,999,0,0,2,0,0,0,0,0,0,100,0,0,0,0,0,0,0,,,4,4,0,0,0,0,1,1,1,0,0,0,0,0,1,,,,,,,,,,,,1,,,,,,0,1,0,0,0,1,1,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,1,,1,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,5,4,2,,1,,0,0,,,0,0,,,1,,Vancouver,APSC,2021,Y,54,0,1,100,1,1,1,1,4,4,4,4,4,4,4,DIRECT-ENTRY,ISI
NUBC2021_ 4817,NA,6,999,,999,5,5,999,4,4,3,3,4,3,3,4,4,4,4,3,4,2,3,,6,6,6,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,6,6,6,6,6,6,1,,2,1,0,0,6,6,6,4,1,5,2,6,7,3,53,,6,6,6,,,,,0,0,2,1,0,1,0,1,1,100,0,0,0,0,0,0,9,,,4,4,1,0,0,0,0,3,1,1,0,0,0,0,0,,,,,,,1,,,,,,,,,,,0,0,1,0,0,0,,,1,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,1,0,,,,,0,0,0,,0,0,,,,,0,,0,,1,,2,1,1,,0,0,,,0,0,1,,2,,Vancouver,APSC,2021,Y,53,1,4,100,1,1,1,0,6,6,6,6,6,6,6,TRANSFER,ISI
NUBC2021_ 16965,Non-First Gen,5,1,,4,4,3,4,5,5,5,5,4,3,,4,3,5,4,5,5,3,4,,4,999,4,4,4,5,6,5,3,3,3,1,1,1,1,1,1,1,4,3,2,2,5,4,1,,0,0,0,0,4,3,3,1,5,6,4,2,7,3,49,,5,5,4,,,,3,1,0,1,0,0,0,0,0,0,50,0,0,0,0,50,0,0,,,3,3,0,0,1,0,0,2,0,0,0,0,0,0,1,,,,,,,,,,,,1,,,,,,1,1,0,0,1,0,1,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,1,0,,1,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,5,5,2,1,1,,0,0,,,0,0,1,,3,,Vancouver,APSC,2021,Y,49,0,1,100,1,1,1,1,5,3,2,2,3,4,3,DIRECT-ENTRY,Domestic
NUBC2021_ 339,Non-First Gen,1,1,,6,6,6,6,5,3,3,999,4,3,,4,4,5,2,4,4,5,4,,6,6,6,5,6,6,6,6,5,5,5,6,2,2,1,2,2,2,6,5,5,5,6,6,1,,1,0,0,0,6,5,6,2,1,7,3,4,6,5,61,,6,6,6,,,,3,1,0,2,0,0,0,1,1,1,100,0,0,0,0,0,0,0,,,5,4,1,0,1,1,0,2,1,0,0,0,0,0,1,,,,,,,,,,,,1,,,,,,0,1,0,0,0,1,1,1,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,1,,1,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,5,5,2,1,1,,0,0,,,0,0,1,,3,,Vancouver,APSC,2021,Y,61,0,3,100,3,1,1,0,6,5,6,6,6,5,6,DIRECT-ENTRY,ISI
NUBC2021_ 30632,Non-First Gen,6,1,,6,6,6,6,5,5,5,1,4,1,5,3,2,4,2,3,3,1,2,,6,6,6,6,6,6,6,6,6,6,6,3,1,1,1,1,1,1,6,6,6,6,6,6,1,,1,0,0,0,6,6,6,1,2,4,3,5,6,7,167,,6,6,6,,,,999,0,0,2,1,0,1,0,0,0,50,0,0,0,50,0,0,0,,,5,5,0,0,0,0,1,999,1,1,0,0,1,0,0,,,,,,,,,,,,1,,,,,,0,1,0,0,0,1,1,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,1,,1,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,5,4,2,1,1,,0,0,,,0,0,1,,1,,Vancouver,SCIE,2021,Y,167,0,2,100,1,2,1,0,6,6,6,6,6,6,6,DIRECT-ENTRY,ISI
NUBC2021_ 3117,Non-First Gen,2,5,,5,5,4,6,1,2,1,999,1,2,,1,1,1,1,1,2,1,1,,4,5,5,5,5,5,6,5,4,5,5,999,2,2,1,2,2,2,4,5,5,4,6,4,1,2,0,0,0,0,5,5,5,3,1,2,4,5,7,6,998,,5,6,5,3,2,1,,1,0,2,0,1,0,0,0,0,90,0,0,0,0,10,0,0,,,5,5,0,0,0,0,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,1,,,1,0,1,0,0,0,1,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,4,4,2,1,1,,0,0,,,0,0,1,,,3,Okanagan,APSO,2021,Y,998,0,1,100,1,1,1,0,5,5,5,5,4,5,5,DIRECT-ENTRY,Domestic
NUBC2021_ 21909,Non-First Gen,1,2,,6,6,5,6,1,4,2,1,3,1,,5,4,1,2,2,5,1,2,,6,6,6,6,6,6,6,6,5,6,5,6,2,2,1,2,1,1,6,6,6,6,6,6,1,,0,0,0,0,6,5,6,1,3,4,6,7,5,2,160,,5,6,6,3,5,0,,1,0,2,1,0,0,1,1,1,0,0,0,95,0,5,0,0,,,5,4,0,0,0,0,1,999,0,0,0,0,0,0,1,,,,,,,,,,,,1,,,,,,0,1,1,0,0,0,1,,0,0,1,,,0,1,0,0,0,0,0,,,,0,0,,0,,1,,0,0,1,,,,1,0,0,,0,0,,,,,0,,0,,5,5,1,1,1,,0,0,,,0,0,1,,3,,Vancouver,SCIE,2021,Y,160,0,4,100,1,1,1,0,6,6,6,6,6,5,5,DIRECT-ENTRY,Domestic
NUBC2021_ 8849,1 Parent,6,1,,4,6,6,5,2,4,4,1,1,2,3,2,2,2,3,3,3,2,2,,5,6,6,5,5,6,6,5,4,5,4,4,2,2,1,1,2,2,5,5,5,5,5,4,1,,999,0,0,0,4,4,4,7,3,2,4,6,5,1,146,,3,5,3,,,,5,0,0,1,1,0,0,1,1,0,50,20,0,0,0,30,0,1,2,1,4,3,1,0,1,1,0,2,1,0,1,0,0,0,0,,,,,,,,,,,,,,,1,,,0,1,0,0,0,1,1,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,2,5,1,1,3,,0,0,1,,0,0,,,3,,Vancouver,LFS,2021,Y,146,0,3,100,3,1,1,0,4,4,4,4,3,4,4,DIRECT-ENTRY,ISI
NUBC2021_ 1104,1 Parent,1,4,,5,4,5,4,4,5,5,999,2,4,,3,2,4,4,4,5,4,3,,5,6,5,4,5,5,6,4,5,4,3,999,2,2,1,1,1,2,5,5,5,4,5,5,1,,1,0,0,0,4,4,3,5,1,4,3,2,7,6,155,,5,6,5,3,5,1,,0,0,2,0,0,0,0,0,0,100,0,0,0,0,0,0,0,,,2,2,0,0,0,1,0,2,1,0,0,0,0,0,1,,,,,,,,,,1,,,,,,,,0,1,1,0,0,1,1,,0,0,0,1,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,0,0,,1,,,0,0,0,,0,0,,,,,0,,0,,2,4,1,1,6,,0,0,,,0,0,1,,3,,Vancouver,PHAR,2021,Y,155,0,1,100,1,1,2,1,4,4,5,5,6,3,3,DIRECT-ENTRY,ISI
NUBC2021_ 29248,1 Parent,1,4,,6,6,6,6,999,4,1,1,1,1,,2,1,3,1,1,4,1,1,,6,6,6,6,6,6,6,6,6,6,6,999,2,2,1,2,2,2,6,6,6,6,6,6,1,,999,0,0,0,5,5,5,5,1,6,3,4,7,2,49,,6,6,6,3,5,2,,0,1,1,0,0,0,1,1,1,100,0,0,0,0,0,0,0,,,5,5,0,0,0,0,1,999,1,0,0,0,0,0,1,,,,,,,,,,,1,,,,,,,0,1,1,0,0,0,1,,0,0,0,,,1,0,0,0,0,0,0,,,,0,0,,0,,1,,0,0,,,,1,0,0,0,,0,0,,,,,0,,0,,4,1,1,999,1,,0,0,,,0,0,1,,3,,Vancouver,APSC,2021,Y,49,0,3,100,1,1,1,0,6,6,5,5,6,4,6,TRANSFER,ISI
NUBC2021_ 8185,First Gen,2,3,,6,6,6,6,1,2,2,3,1,1,,2,4,3,1,2,4,1,2,,6,4,5,5,6,6,6,5,5,4,4,1,1,1,1,1,1,2,4,5,4,5,6,5,0,1,999,0,0,0,5,5,5,7,6,3,5,1,4,2,35,,2,6,5,999,,,,1,0,1,0,0,0,0,0,0,0,25,25,0,0,50,0,0,,,4,4,0,0,0,1,0,3,0,0,0,0,0,0,1,,,,,,,,,,,,,,,1,,,1,0,0,1,0,0,1,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,1,3,1,1,1,,0,0,,,1,0,,,,1,Okanagan,FOS,2021,Y,35,0,1,100,1,1,1,1,4,4,5,5,4,5,6,TRANSFER,Domestic
NUBC2021_ 16615,Non-First Gen,6,1,,4,5,5,999,999,3,3,999,3,4,5,5,5,2,3,3,5,1,5,,999,4,4,999,4,6,6,3,2,4,5,5,2,1,1,2,2,2,3,3,4,4,4,3,0,,999,0,0,0,4,4,4,7,4,5,6,3,1,2,999,,1,5,5,,,,999,1,1,1,0,0,0,1,1,1,100,0,0,0,0,0,0,0,,,3,2,0,0,0,0,1,999,8,0,1,0,0,0,0,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,5,5,1,1,999,,0,0,,,0,0,1,,3,,Vancouver,ARTS,2021,Y,1001,0,3,100,1,1,1,0,2,5,4,5,4,3,4,DIRECT-ENTRY,ISI
NUBC2021_ 9830,Non-First Gen,6,999,,5,6,6,5,4,3,4,999,5,2,5,3,4,3,2,2,4,3,3,,6,6,6,5,6,6,6,5,4,3,3,3,1,1,1,1,1,1,5,3,4,4,5,3,1,999,999,0,0,0,4,3,5,4,1,3,5,6,7,2,9,,2,5,3,,,,,0,0,1,0,1,0,0,0,0,35,0,0,0,0,65,0,1,0,0,3,2,1,0,1,0,0,3,2,0,0,0,0,0,1,,,,,,,,,,,,1,,,,,,0,1,0,0,0,1,1,,0,0,1,,,0,0,0,0,0,0,0,,1,,0,0,,0,,1,,0,0,,,,,0,0,0,,0,0,,1,,,0,,0,,5,4,2,1,1,,0,0,,,0,0,1,,,3,Okanagan,FASS,2021,Y,9,0,1,100,2,1,1,0,5,4,5,6,4,6,6,DIRECT-ENTRY,ISI
NUBC2021_ 28044,1 Parent,6,1,,5,4,4,4,5,3,4,1,2,5,2,1,2,2,2,3,2,1,1,,6,6,6,6,6,6,6,5,5,4,4,5,2,1,1,1,1,2,5,5,4,4,6,5,0,,1,0,0,0,5,4,6,4,1,5,2,3,6,7,999,,3,6,5,,,,999,1,0,2,0,0,0,0,1,0,100,0,0,0,0,0,0,0,,,4,3,1,0,1,1,0,2,1,0,0,0,0,0,1,,,,,,,,,,,,1,,,,,,0,1,0,0,0,1,1,,0,0,0,,,0,1,0,0,0,0,0,,,,0,0,1,0,,1,,0,0,,,,,1,0,0,,0,0,,,,,0,1,0,,4,3,2,1,1,1,0,0,,,0,1,,,3,,Vancouver,SCIE,2021,Y,167,0,1,100,3,1,1,0,5,3,5,4,5,6,6,DIRECT-ENTRY,ISI
NUBC2021_ 30876,Non-First Gen,5,1,,6,6,6,6,4,4,3,999,999,1,,2,3,1,2,2,4,2,3,,6,5,5,5,6,6,6,5,4,5,6,6,1,1,1,1,1,1,5,5,5,5,6,5,1,,999,0,0,0,6,5,6,1,5,3,2,4,6,7,178,,5,6,6,,,,5,1,0,2,1,0,1,1,1,1,60,10,10,0,0,20,0,0,,,5,4,0,0,1,0,0,1,0,0,0,0,0,0,1,,,,,,,1,,,,,,,,,,,1,1,0,0,1,0,1,,1,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,1,0,,,,,0,0,0,,0,0,,,,,0,,0,,4,5,1,1,1,,0,0,,,0,0,,,,,Vancouver,SCIE,2021,Y,178,0,5,100,1,1,1,0,5,5,6,6,5,5,5,DIRECT-ENTRY,Domestic
NUBC2021_ 11093,First Gen,1,1,,4,6,6,6,1,5,2,1,1,3,,2,1,2,3,3,5,1,1,,4,4,4,4,4,4,4,6,4,6,6,6,2,2,1,2,2,2,4,3,3,5,6,4,0,,2,0,0,1,5,5,5,4,7,6,2,1,3,5,97,,4,6,5,,,,4,1,1,1,1,0,1,1,1,1,80,10,0,0,0,10,0,0,,,5,4,0,0,0,0,1,1,0,0,0,0,0,0,1,,,,,,,1,,,,,,,,1,,,1,0,1,0,0,0,1,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,2,2,1,1,1,,0,0,,,0,0,1,,2,,Vancouver,ARTS,2021,Y,97,1,5,100,1,1,1,0,4,5,5,4,4,4,4,DIRECT-ENTRY,Domestic
NUBC2021_ 1685,NA,1,4,,5,6,6,5,5,2,4,1,1,2,,1,2,3,2,4,5,1,2,,5,5,4,4,5,5,5,5,2,4,4,999,2,2,1,2,2,2,4,3,4,4,5,2,1,,999,0,0,0,2,2,4,3,1,2,6,7,4,5,97,,1,5,2,1,5,2,,0,0,1,0,0,0,0,0,0,0,50,0,0,0,50,0,9,,,4,3,1,1,1,1,0,3,0,0,1,0,0,0,0,,,,,,,1,,,,,,,,,,,0,1,1,1,1,1,1,,1,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,,1,0,,,,,0,0,0,,0,0,,,,,0,,0,,1,,1,,1,,0,0,,,0,0,,,3,,Vancouver,ARTS,2021,Y,97,0,1,100,4,1,4,1,4,4,3,4,3,3,3,TRANSFER,Domestic
NUBC2021_ 983,Non-First Gen,6,1,,6,6,6,6,5,5,5,5,3,999,4,4,2,5,4,5,3,4,3,,5,4,5,4,2,6,5,6,6,6,6,6,2,2,1,2,2,3,6,6,6,6,6,6,1,1,1,0,0,0,6,6,6,7,2,3,4,1,5,6,44,,6,6,3,,,,5,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,,,5,5,0,0,0,0,1,999,7,1,0,0,0,0,0,,,,,,,1,,,,,,,,,,,0,0,0,0,0,1,1,,1,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,1,0,,,,,0,0,0,,0,0,,,,,0,,0,,4,4,1,1,1,,0,0,,,0,0,1,,,1,Okanagan,FOS,2021,Y,44,0,1,100,1,1,1,1,4,4,4,3,4,4,4,DIRECT-ENTRY,ISI
NUBC2021_ 14030,First Gen,1,4,,6,6,6,6,3,3,2,1,1,1,,2,1,1,1,1,1,1,1,,6,6,6,6,6,6,6,6,6,6,6,999,1,1,1,1,1,1,6,6,6,5,6,6,1,,999,0,0,0,6,6,6,6,7,4,5,3,2,1,90,,5,6,6,3,5,3,,1,1,2,1,0,0,1,0,0,100,0,0,0,0,0,0,0,,,4,4,0,0,0,0,1,999,1,0,0,0,0,0,1,,,,,,,1,,,,,,,,,,,0,1,1,0,0,0,1,,1,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,1,0,,,,,0,0,0,,0,0,,,,,0,,0,,1,1,1,1,1,,0,0,,,0,0,1,,3,,Vancouver,ARTS,2021,Y,90,0,2,100,1,1,1,0,6,6,6,6,6,6,6,DIRECT-ENTRY,ISI
NUBC2021_ 23141,1 Parent,1,4,,4,4,4,4,1,1,1,1,1,1,,1,1,1,2,2,2,1,1,,4,4,4,4,6,5,5,5,5,3,3,999,2,2,2,2,2,2,5,5,5,4,5,5,1,,999,0,0,0,4,5,5,1,2,6,5,7,3,4,68,,5,5,5,3,5,3,,1,0,2,1,0,1,1,1,1,0,100,0,0,0,0,0,0,,,3,2,0,0,0,0,1,2,0,0,0,0,0,0,1,,,,,,,,,1,,,,,,1,,,1,1,1,1,1,1,1,,0,0,0,,1,0,0,0,0,0,0,0,,,,0,0,,0,,1,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,4,3,1,999,1,,0,0,,,0,0,1,,3,,Vancouver,ARTS,2021,Y,68,0,5,100,1,1,4,0,5,5,5,5,5,5,5,TRANSFER,Domestic
NUBC2021_ 13560,Non-First Gen,4,5,,3,4,4,5,1,1,3,1,3,1,,3,4,2,3,2,5,1,2,,6,5,6,5,5,5,6,5,3,5,3,999,2,2,1,1,1,3,4,5,3,4,5,4,1,1,999,0,0,0,3,3,5,7,5,4,1,3,2,6,11,,4,6,5,2,999,1,,1,0,1,0,0,0,0,1,1,0,90,10,0,0,0,0,0,,,5,2,1,0,1,1,0,2,0,0,0,0,0,0,1,,,,,,,,,,,,,,,1,,,1,0,0,1,0,0,1,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,5,5,1,1,999,,0,0,1,,0,0,,,,3,Okanagan,FASS,2021,Y,11,0,2,100,3,1,1,0,3,4,5,4,4,4,5,TRANSFER,Domestic
NUBC2021_ 14462,First Gen,6,1,,6,6,6,,2,2,1,1,1,1,2,2,3,2,1,2,3,1,2,,6,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,1,1,6,6,6,6,6,6,1,,1,0,0,0,6,5,5,1,5,6,2,3,7,4,54,,4,6,6,,,,5,1,0,2,0,0,0,1,1,0,100,0,0,0,0,0,0,0,,,5,4,1,0,0,1,0,1,1,1,0,0,1,1,0,,,,,,,,,,,,1,,,,,,0,1,0,0,0,1,1,,0,0,0,,,0,1,0,0,0,0,0,,,,0,0,,0,,1,1,0,0,,,,,1,0,0,,0,0,,,,,0,,0,,2,2,1,1,1,,0,0,,,0,0,1,,3,,Vancouver,APSC,2021,Y,54,0,2,100,2,3,1,0,5,5,4,4,4,5,5,DIRECT-ENTRY,ISI
NUBC2021_ 12081,Non-First Gen,1,1,,6,6,6,5,4,5,2,999,1,1,,4,4,5,3,2,5,1,4,,6,5,6,999,6,4,6,5,6,6,3,3,1,1,1,1,1,1,6,5,5,3,5,4,1,,999,0,0,0,5,4,4,2,4,1,3,5,7,6,160,,5,6,6,,,,3,1,0,2,0,0,0,0,1,1,100,0,0,0,0,0,0,0,,,3,2,0,0,1,0,0,3,8,0,0,0,0,0,1,,,,,,,1,,,,,,,,,,,0,1,1,1,0,1,1,1,1,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,1,0,,,,,0,0,0,,0,0,,,,,0,,0,,4,4,1,999,1,,0,0,,,0,0,1,,1,,Vancouver,SCIE,2021,Y,160,0,2,100,1,1,3,0,3,5,5,4,3,2,3,DIRECT-ENTRY,Domestic
NUBC2021_ 8007,Non-First Gen,5,1,,3,6,5,4,3,1,3,1,3,2,,1,1,1,1,1,1,1,1,,6,6,6,5,6,6,6,6,5,4,6,5,3,3,1,2,2,3,6,4,5,6,6,4,1,,1,0,0,0,5,6,6,NA,NA,NA,NA,NA,NA,1,999,,3,6,6,,,,2,1,0,2,0,0,0,1,1,1,0,40,0,0,0,60,0,1,2,0,4,4,0,0,1,1,0,5,0,0,0,0,0,0,1,,,,,,,,,,,,,,,1,,,1,0,0,0,1,0,1,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,4,4,2,1,1,,0,0,,,0,0,1,,3,,Vancouver,ARTS,2021,NA,1001,0,3,100,2,1,1,0,6,6,6,6,6,6,6,TRANSFER,Domestic
NUBC2021_ 15852,1 Parent,1,1,,6,6,6,6,3,5,4,999,2,2,,4,3,4,4,3,4,1,4,,6,6,6,6,6,6,6,3,3,6,6,6,2,1,1,2,2,2,5,5,4,6,6,6,0,,999,0,0,0,6,6,6,2,1,3,4,7,6,5,164,,6,6,6,,,,5,1,0,1,0,0,0,1,0,0,95,0,0,0,0,5,0,0,,,5,1,1,0,0,1,0,3,0,0,0,0,0,0,1,,,,,,,,,,,,,,,1,,,1,1,1,0,0,0,1,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,0,0,,,,1,0,0,0,,0,0,,,,,0,,0,,2,5,1,1,1,,0,0,,,0,0,1,,3,,Vancouver,SCIE,2021,Y,164,0,1,100,2,1,1,0,5,6,2,2,4,6,6,DIRECT-ENTRY,Domestic
NUBC2021_ 25240,1 Parent,4,1,,5,5,5,6,1,1,1,1,1,1,,2,2,1,1,1,1,1,3,,6,5,4,5,6,6,6,5,5,6,5,6,1,2,1,1,1,1,5,5,5,5,6,4,1,999,0,0,0,0,5,5,6,2,1,3,6,5,7,4,16,,6,6,6,,,,5,1,1,1,0,0,0,0,0,0,40,10,0,0,0,0,50,0,,,5,4,1,0,1,0,0,3,0,0,0,0,0,0,1,,,,,,,,,,,,,,,1,,,1,0,0,1,0,0,1,,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,1,,0,0,,,,,0,0,0,,0,0,,,,,0,,0,,1,4,2,1,1,,0,0,1,,0,0,,,,3,Okanagan,APSO,2021,Y,16,0,1,100,2,1,1,1,5,4,5,5,4,4,6,DIRECT-ENTRY,Domestic
